modality_pair,m1_name,m2_name,comparison,question_intent,n_questions,model,S_m1,S_m2,C12,C12_ci_lo,C12_ci_hi,D,D_ci_lo,D_ci_hi,S_target,S_reference
plain_text + table,plain_text,table,S_table - S_plain_text,List,14,Gemma3-4B,1.0251400477681158,-0.6708132094861592,-0.398070597086561,-0.5432806158407101,0.05767321364128586,-1.695953257254275,-14.77569999225097,0.8867393896178984,-0.6708132094861592,1.0251400477681158
plain_text + table,plain_text,table,S_table - S_plain_text,List,14,Gemma3-27B,0.5445935560842884,0.27007929051557933,-0.1837346540478991,-0.26004997147165004,0.2042009160845573,-0.27451426556870906,-1.459971805997062,0.3827183549543848,0.27007929051557933,0.5445935560842884
plain_text + table,plain_text,table,S_table - S_plain_text,List,14,GPT-4o-mini,0.40595973255382234,0.4513100340728561,-0.39438959329799694,-0.4928197936152678,0.03523946594211713,0.04535030151903374,-0.5608278472291093,0.5723093063204425,0.4513100340728561,0.40595973255382234
plain_text + table,plain_text,table,S_table - S_plain_text,List,14,Qwen3-VL-8B,0.23392915555478083,0.6081827517776511,-0.21487351225221027,-0.36320475090602966,0.2318292592348816,0.3742535962228703,-0.19380894094813234,1.1114206244725373,0.6081827517776511,0.23392915555478083
plain_text + table,plain_text,table,S_table - S_plain_text,List,14,Qwen3-VL-30B,0.3930815283629514,0.4517578222593789,-0.3861072476393037,-0.5586360651550839,0.07148610085755601,0.05867629389642748,-0.6915129787357555,0.6254618972647628,0.4517578222593789,0.3930815283629514
plain_text + table,plain_text,table,S_table - S_plain_text,Quantity,37,Gemma3-4B,0.3333333333333333,0.4444444444444444,-0.10810810810810811,-0.24324324324324326,0.10810810810810811,0.1111111111111111,-0.7777777777777778,0.8571428571428572,0.4444444444444444,0.3333333333333333
plain_text + table,plain_text,table,S_table - S_plain_text,Quantity,37,Gemma3-27B,0.41399807497203506,0.4831950261439609,0.07567841120472707,-0.05607834555202973,0.3168973629499945,0.06919695117192587,-0.31999999999999995,0.47058823529411764,0.4831950261439609,0.41399807497203506
plain_text + table,plain_text,table,S_table - S_plain_text,Quantity,37,GPT-4o-mini,0.408967916505605,0.5106300734441438,-0.15280665280665284,-0.28794178794178793,0.09979209979209985,0.1016621569385388,-0.25000000000000006,0.4683850181232381,0.5106300734441438,0.408967916505605
plain_text + table,plain_text,table,S_table - S_plain_text,Quantity,37,Qwen3-VL-8B,0.2772410091250671,0.6454643048845947,-0.044669669669669676,-0.17042042042042044,0.19857357357357347,0.3682232957595276,0.056847545219638196,0.6736842105263158,0.6454643048845947,0.2772410091250671
plain_text + table,plain_text,table,S_table - S_plain_text,Quantity,37,Qwen3-VL-30B,0.4221105527638191,0.49748743718592964,-0.08108108108108114,-0.24324324324324315,0.18918918918918914,0.07537688442211055,-0.2197309417040359,0.3725490196078431,0.49748743718592964,0.4221105527638191
plain_text + table,plain_text,table,S_table - S_plain_text,Resource,1,Gemma3-4B,,,,,,,,,,
plain_text + table,plain_text,table,S_table - S_plain_text,Resource,1,Gemma3-27B,,,,,,,,,,
plain_text + table,plain_text,table,S_table - S_plain_text,Resource,1,GPT-4o-mini,,,,,,,,,,
plain_text + table,plain_text,table,S_table - S_plain_text,Resource,1,Qwen3-VL-8B,,,,,,,,,,
plain_text + table,plain_text,table,S_table - S_plain_text,Resource,1,Qwen3-VL-30B,,,,,,,,,,
plain_text + table,plain_text,table,S_table - S_plain_text,Verification,9,Gemma3-4B,-0.16666666666666666,0.16666666666666666,0.2222222222222222,-0.2222222222222222,0.8888888888888888,0.3333333333333333,0.0,1.0,0.16666666666666666,-0.16666666666666666
plain_text + table,plain_text,table,S_table - S_plain_text,Verification,9,Gemma3-27B,-0.09999999999999994,-0.09999999999999994,0.11111111111111105,-0.4444444444444444,0.7777777777777778,0.0,-1.0,0.5,-0.09999999999999994,-0.09999999999999994
plain_text + table,plain_text,table,S_table - S_plain_text,Verification,9,GPT-4o-mini,0.0,0.25000000000000006,0.4444444444444444,0.0,1.0,0.25000000000000006,-0.22222222222222232,0.7142857142857143,0.25000000000000006,0.0
plain_text + table,plain_text,table,S_table - S_plain_text,Verification,9,Qwen3-VL-8B,0.11111111111111116,0.22222222222222227,0.0,-0.33333333333333326,0.4444444444444444,0.1111111111111111,-0.22222222222222227,0.4444444444444444,0.22222222222222227,0.11111111111111116
plain_text + table,plain_text,table,S_table - S_plain_text,Verification,9,Qwen3-VL-30B,0.05555555555555558,0.27777777777777785,0.11111111111111116,-0.2222222222222222,0.44444444444444453,0.22222222222222227,-0.22222222222222227,0.6666666666666666,0.27777777777777785,0.05555555555555558
