benchmark,modality_pair,comparison,model,n_documents,observed_D,D_mean,D_std,D_ci_lo,D_ci_hi,D_ci_excludes_zero,D_direction,observed_C12,C12_mean,C12_std,C12_ci_lo,C12_ci_hi,C12_ci_excludes_zero,C12_direction
LongDocURL,image + layout,S_layout - S_image,Gemma3-4B,26,-0.19675854653050365,-0.17847001010843547,0.32808761355180666,-0.7742914979757084,0.5223759345946661,False,negative,-0.023162678325449895,0.030000959913034878,0.0729181477290632,-0.10893470907135258,0.17996926376136768,False,negative
LongDocURL,image + layout,S_layout - S_image,Gemma3-27B,26,-0.5548915725238559,-0.5806245965009029,0.3591150037121025,-1.3333333333333335,0.0,False,negative,-0.003950936422423348,0.047170427782552135,0.08800354004736313,-0.11428571428571425,0.23330705688520015,False,negative
LongDocURL,image + layout,S_layout - S_image,GPT-4o-mini,26,-0.8152209189390223,-0.8158783771147431,0.1328579225612138,-1.0761178299429381,-0.5527289455487405,True,negative,-0.049254509493235635,0.0036077694378721823,0.06088434963222993,-0.10967337243710823,0.12788343500526062,False,negative
LongDocURL,image + layout,S_layout - S_image,Qwen3-VL-8B,26,-0.7141548562242558,-0.7137224783614496,0.18078313547098207,-1.0612259091035263,-0.34503594330586157,True,negative,-0.12161375177764853,-0.07152012080626476,0.08804737782323004,-0.23361095531108422,0.11682820691873877,False,negative
LongDocURL,image + layout,S_layout - S_image,Qwen3-VL-30B,26,-0.7387019230769231,-0.7315081376482594,0.13021086522084857,-0.9588205009276439,-0.44956043956043956,True,negative,-0.09443815987933625,-0.04179715736937496,0.06694411129368512,-0.16809346567411082,0.09375,False,negative
LongDocURL,image + plain_text,S_plain_text - S_image,Gemma3-4B,70,0.15641339674935775,0.1566875756452416,0.1666605086161601,-0.1659235056058458,0.4907220596328172,False,positive,-0.127806043932439,-0.12130304482622656,0.04954859331851643,-0.2148541978915234,-0.019901829250676337,True,negative
LongDocURL,image + plain_text,S_plain_text - S_image,Gemma3-27B,70,0.07978038240384394,0.07980959034874975,0.09099740024088775,-0.10205680046437672,0.25589473308988536,False,positive,-0.12915300820696085,-0.12131789107118779,0.0584526027739074,-0.22955783819936929,-0.0008804205461929267,True,negative
LongDocURL,image + plain_text,S_plain_text - S_image,GPT-4o-mini,70,0.2595767189973815,0.26142426181144346,0.08796075204145555,0.09080495505446533,0.43567433978261916,True,positive,-0.2850692689109271,-0.27866555410181454,0.06603995937126746,-0.39297781089627837,-0.13400505282069866,True,negative
LongDocURL,image + plain_text,S_plain_text - S_image,Qwen3-VL-8B,70,0.10073153514008804,0.10028693274920226,0.10294626436055254,-0.09942204778889552,0.3039938136596635,False,positive,-0.22926748438817895,-0.2229966601349312,0.05199178026048948,-0.3209517783503847,-0.11651769830106154,True,negative
LongDocURL,image + plain_text,S_plain_text - S_image,Qwen3-VL-30B,70,0.071242014933944,0.0701177691797883,0.08771716806224883,-0.10483204086196786,0.23814987266570828,False,positive,-0.23064573421163997,-0.2243803030162888,0.057964975721578126,-0.3317273290907748,-0.10427551402934877,True,negative
