benchmark,modality_pair,n_questions,n_documents,comparison,D_mean_across,D_mean_ci_lo,D_mean_ci_hi,D_mean_excl_zero,D_prop_all_pos,D_prop_all_neg,C12_mean_across,C12_mean_ci_lo,C12_mean_ci_hi,C12_mean_excl_zero,C12_prop_all_pos,C12_prop_all_neg,D_strength,D_conclusion,C12_strength,C12_conclusion
Pooled,image + layout,81,54,S_layout - S_image,-0.7129690058901637,-0.9612792575927507,-0.4816584253126931,True,0.0,0.90634,0.009539723587859497,-0.0564418941129641,0.07860430655018683,False,0.11519,0.0564,strong,"Strong evidence: image contributes more than layout, consistently across all 5 models.",weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
Pooled,image + plain_text,244,114,S_plain_text - S_image,0.050542825515338244,-0.0856454207635619,0.18129948820387093,False,0.25001,0.01873,-0.14010802522858398,-0.2015498640778469,-0.07271570739727595,True,0.0,0.98917,weak_or_unclear,Weak or unclear evidence: models do not consistently agree on whether plain_text or image contributes more.,strong,Strong evidence: modalities are redundant (C12 < 0) consistently across all 5 models.
Pooled,image + table,180,64,S_table - S_image,0.1622136752603051,-0.07373882366848614,0.45540188494391776,False,0.18442426182283747,3.0007201728414818e-05,0.049122400687994415,-0.007092371453524504,0.11421428640441764,False,0.20021805233255982,0.0,weak_or_unclear,Weak or unclear evidence: models do not consistently agree on whether table or image contributes more.,weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
Pooled,layout + plain_text,296,145,S_plain_text - S_layout,0.5030217400199944,0.40279242433000567,0.6082912328947591,True,1.0,0.0,-0.06735900743796544,-0.1046915099247765,-0.02931512000252931,True,0.0,0.79095,strong,"Strong evidence: plain_text contributes more than layout, consistently across all 5 models.",moderate,Moderate evidence for redundancy (C12 < 0) across models.
Pooled,layout + table,159,67,S_table - S_layout,0.7933321234995051,0.6211097864019975,0.9462693307076506,True,0.92686,0.0,0.04118423086274054,-0.014444611901452449,0.12690865772573748,False,0.51165,0.00536,strong,"Strong evidence: table contributes more than layout, consistently across all 5 models.",weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
Pooled,plain_text + table,91,66,S_table - S_plain_text,0.15239249556956377,-0.029953734533849318,0.3275322426542551,False,0.55028,0.00223,-0.15664927367245227,-0.2530603816011075,-0.05939585653258735,True,1e-05,0.88554,weak_or_unclear,Weak or unclear evidence: models do not consistently agree on whether table or plain_text contributes more.,strong,Strong evidence: modalities are redundant (C12 < 0) consistently across all 5 models.
