benchmark,modality_pair,comparison,model,n_questions,n_documents,observed_D,D_mean,D_std,D_ci_lo,D_ci_hi,D_ci_excludes_zero,D_direction,observed_C12,C12_mean,C12_std,C12_ci_lo,C12_ci_hi,C12_ci_excludes_zero,C12_direction
Pooled,image + layout,S_layout - S_image,Gemma3-4B,81,54,-0.3530779293824412,-0.3579865713525562,0.28278705443628566,-0.9321937147084246,0.19507470946319874,False,negative,-0.02001067156047695,0.005928355945839345,0.05354115391109663,-0.09792275235313207,0.11331429504988022,False,negative
Pooled,image + layout,S_layout - S_image,Gemma3-27B,81,54,-0.6254148293335648,-0.6432324142293129,0.24623072828731932,-1.1865955090043676,-0.21610485056514,True,negative,0.023032940267130937,0.04898540739063847,0.052251886617647736,-0.052056874106399864,0.1533943487785102,False,positive
Pooled,image + layout,S_layout - S_image,GPT-4o-mini,81,54,-0.9076440014054015,-0.9111288787732902,0.1063302704431814,-1.1299855426418173,-0.7079688364244765,True,negative,-0.005977495460417537,0.02013863445729313,0.032719587612395164,-0.04315694903489787,0.08602154796691686,False,negative
Pooled,image + layout,S_layout - S_image,Qwen3-VL-8B,81,54,-0.910785632734955,-0.9211552420981345,0.21620270919838427,-1.3830075885061124,-0.5286970320570843,True,negative,-0.06339342667209935,-0.03800664048536449,0.053339489110891335,-0.1415583766811341,0.06835640619447789,False,negative
Pooled,image + layout,S_layout - S_image,Qwen3-VL-30B,81,54,-0.7312474828836086,-0.7313419229975259,0.12325157341129972,-0.969306700069036,-0.4830979567307693,True,negative,-0.015360873694207022,0.01065286063089103,0.04631237507859691,-0.07862493228602387,0.10342770062932337,False,negative
Pooled,image + plain_text,S_plain_text - S_image,Gemma3-4B,244,114,0.09541552886759219,0.09473401977092019,0.14123143098006338,-0.18057911670172558,0.37521277330383807,False,positive,-0.1012064582810978,-0.09886034830612585,0.034603127025783914,-0.16550754173954565,-0.029169589206808923,True,negative
Pooled,image + plain_text,S_plain_text - S_image,Gemma3-27B,244,114,-0.023881805843432413,-0.025159844200800936,0.08940332270272452,-0.2064228841547929,0.14540654125841715,False,negative,-0.10868102841586967,-0.10597104367026548,0.043424397578824575,-0.18978797422351432,-0.019142105723261197,True,negative
Pooled,image + plain_text,S_plain_text - S_image,GPT-4o-mini,244,114,0.09687094611191427,0.09660387061200341,0.08412321801106415,-0.0715098222649266,0.2595570831287084,False,positive,-0.18737966706791315,-0.18498879850303113,0.047039514480404145,-0.27243611553806135,-0.08733229109677591,True,negative
Pooled,image + plain_text,S_plain_text - S_image,Qwen3-VL-8B,244,114,0.05664226935831701,0.05664950643064366,0.0948579824529374,-0.12759664490629655,0.24409846830614432,False,positive,-0.15836998791416984,-0.15598613556158064,0.03723880211154021,-0.2276794660022923,-0.08128713650004256,True,negative
Pooled,image + plain_text,S_plain_text - S_image,Qwen3-VL-30B,244,114,0.0315383476309431,0.029886574963924908,0.08100705318034511,-0.1324920064021075,0.18526071808433087,False,positive,-0.1569812488554161,-0.1547338001019168,0.04247053193222556,-0.23652695309426092,-0.06975121381195858,True,negative
Pooled,image + table,S_table - S_image,Gemma3-4B,180,64,0.3126596018717033,0.26675903856731753,0.5565208360221402,-0.89592484062324,1.167272658392313,False,positive,-0.01873383499621457,0.0013276411340908836,0.030257482167531536,-0.056295278613699616,0.06416550029764408,False,negative
Pooled,image + table,S_table - S_image,Gemma3-27B,180,64,0.23743868253904604,0.27987134537147157,0.24800181270638677,-0.08819672922452947,0.8819450600159626,False,positive,-0.00973344623009324,0.00686178766360766,0.04972017450643226,-0.09039823555710323,0.10611705428315989,False,negative
Pooled,image + table,S_table - S_image,GPT-4o-mini,180,64,-0.04375876951535368,-0.03466010141220875,0.0840335824964361,-0.1811841900322311,0.14974333507936388,False,negative,0.20664006819658504,0.22656010948002978,0.04312763504414046,0.1444503007210421,0.31425635575673483,True,positive
Pooled,image + table,S_table - S_image,Qwen3-VL-8B,180,64,0.08917129278300945,0.09420325889627587,0.08321602877027699,-0.06065096968560066,0.26821050850696193,False,positive,-0.01835555679138706,0.0030531144119971903,0.03294716708030763,-0.059985999310740876,0.06994631139792272,False,negative
Pooled,image + table,S_table - S_image,Qwen3-VL-30B,180,64,0.19473616862946108,0.20510806207727195,0.11583679264029524,0.00030359891919169404,0.4555209245914362,True,positive,-0.012656293405411686,0.007788485657552543,0.04848943353212719,-0.08416199014690691,0.10617291810962586,False,negative
Pooled,layout + plain_text,S_plain_text - S_layout,Gemma3-4B,296,145,0.3858100527884347,0.39121919939462185,0.09385469220665839,0.22072944731542396,0.58962466827229,True,positive,-0.05392451811779518,-0.05347190801691766,0.024523606652328698,-0.10133791352631467,-0.005046226750815059,True,negative
Pooled,layout + plain_text,S_plain_text - S_layout,Gemma3-27B,296,145,0.3485573702975576,0.35168842581038545,0.08013183555959563,0.19949152829569766,0.5134075086232741,True,positive,-0.02824380685597662,-0.027729842986531195,0.029020464949090226,-0.08395323459195066,0.029428793722756665,False,negative
Pooled,layout + plain_text,S_plain_text - S_layout,GPT-4o-mini,296,145,0.6264940299029063,0.6282304414569689,0.06902497221501692,0.49394220588925475,0.7656800563587904,True,positive,-0.10267413710905447,-0.10220033907858599,0.030397454894272195,-0.16157945700809567,-0.042530139721097926,True,negative
Pooled,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-8B,296,145,0.5659596517845508,0.567812332611129,0.06596381652132274,0.4422324905426628,0.7006128520942722,True,positive,-0.05242040884947462,-0.051974117507796555,0.029956519292535386,-0.11027595239802286,0.00721057879948976,False,negative
Pooled,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-30B,296,145,0.574238393500821,0.5761583008268665,0.07488250967815609,0.4322120275244487,0.726922073984399,True,positive,-0.10194430879288068,-0.1014188295999958,0.030173722247658307,-0.1600508190329885,-0.04181921646883376,True,negative
Pooled,layout + table,S_table - S_layout,Gemma3-4B,159,67,0.38914988773795717,0.35935027165582034,0.23617513950087438,-0.18512671835240302,0.7411568465303282,False,positive,-0.023061085563008073,0.018521554385616056,0.044853071192039795,-0.055431108023292354,0.12461831663671415,False,negative
Pooled,layout + table,S_table - S_layout,Gemma3-27B,159,67,1.0986656638983419,1.1037963881095563,0.1515223286680914,0.8238283170909734,1.4207762864714768,True,positive,-0.016926046797693793,0.02557876872272752,0.0448456754416792,-0.04805846106419842,0.13038402230469417,False,negative
Pooled,layout + table,S_table - S_layout,GPT-4o-mini,159,67,0.8553540601511783,0.8513401396626924,0.08836887132991866,0.6621865576120874,1.0119821151379111,True,positive,0.013007222097084832,0.05531866869802654,0.040863348415020866,-0.013064002829281166,0.14914798272384122,False,positive
Pooled,layout + table,S_table - S_layout,Qwen3-VL-8B,159,67,0.7906471847019678,0.7884850961350461,0.08572071699821505,0.6152002066466514,0.9528424908208274,True,positive,0.02143571609884832,0.0641162776561183,0.04151721820361271,-0.01244991583605935,0.15067588845953678,False,positive
Pooled,layout + table,S_table - S_layout,Qwen3-VL-30B,159,67,0.8621354219084707,0.8636887219344108,0.09133208208835708,0.6833258004980745,1.043847258874402,True,positive,0.00011887218717211018,0.0423858848512143,0.03788429699413814,-0.024207350681199953,0.12525410263818298,False,positive
Pooled,plain_text + table,S_table - S_plain_text,Gemma3-4B,91,66,0.09008872539011287,0.09006315827407665,0.18616208179487043,-0.276918246721665,0.45878061522514724,False,positive,-0.18403701126856425,-0.17851925778192834,0.06532697892480624,-0.308644715743817,-0.0524433664083957,True,negative
Pooled,plain_text + table,S_table - S_plain_text,Gemma3-27B,91,66,0.1675070699634325,0.1651466221608131,0.12990034844251608,-0.09359376494701224,0.4164284804160514,False,positive,-0.08141261075230015,-0.0759236061868439,0.06043898722749491,-0.1948577306356886,0.042755964836155666,False,negative
Pooled,plain_text + table,S_table - S_plain_text,GPT-4o-mini,91,66,0.12781629075716744,0.1271004554011245,0.11636412427246595,-0.10343098181300023,0.3546677622530304,False,positive,-0.2291689163636158,-0.2221762639614263,0.06692864385262211,-0.3484527660076238,-0.08666919721010086,True,negative
Pooled,plain_text + table,S_table - S_plain_text,Qwen3-VL-8B,91,66,0.25402524345324207,0.2524337165989454,0.11186486272650828,0.028613089971373927,0.4694927145080032,True,positive,-0.1446888875548411,-0.13816772818447354,0.05697598213362596,-0.24885177556468954,-0.025602554523786406,True,negative
Pooled,plain_text + table,S_table - S_plain_text,Qwen3-VL-30B,91,66,0.12823783809255557,0.12721852541285905,0.10170106777581694,-0.07552743965569673,0.3240588976256113,False,positive,-0.17603448165479796,-0.16845951224758926,0.07440009730129733,-0.31184222791495975,-0.020176009581514637,True,negative
