benchmark,modality_pair,comparison,model,n_questions_original,n_resampled_mean,n_resampled_std,observed_D,D_mean,D_std,D_ci_lo,D_ci_hi,D_ci_excludes_zero,D_direction,observed_C12,C12_mean,C12_std,C12_ci_lo,C12_ci_hi,C12_ci_excludes_zero,C12_direction
Pooled-Unstratified-GlobalPool,image + layout,S_layout - S_image,Gemma3-4B,81,81.01695,8.629347756203826,-0.3530779293824412,-0.3578746771574872,0.28625456302474445,-0.9359447205525359,0.19909850960253778,False,negative,-0.02001067156047695,0.0030353945261116333,0.05430688359622222,-0.10267958816764113,0.11037155920896773,False,negative
Pooled-Unstratified-GlobalPool,image + layout,S_layout - S_image,Gemma3-27B,81,81.01695,8.629347756203826,-0.6254148293335648,-0.6421494387246554,0.24979686194287645,-1.1849400377904147,-0.2031246051333496,True,negative,0.023032940267130937,0.04603647460991584,0.05328637595114374,-0.05633802816901409,0.15338959425632787,False,positive
Pooled-Unstratified-GlobalPool,image + layout,S_layout - S_image,GPT-4o-mini,81,81.01695,8.629347756203826,-0.9076440014054015,-0.9116713895532788,0.10538133746028332,-1.1311513557300557,-0.7136663590720776,True,negative,-0.005977495460417537,0.01722697441389238,0.033571791964449614,-0.0482643742828614,0.08355128236640268,False,negative
Pooled-Unstratified-GlobalPool,image + layout,S_layout - S_image,Qwen3-VL-8B,81,81.01695,8.629347756203826,-0.910785632734955,-0.9274354929045248,0.20250869654401696,-1.3698538840573364,-0.5698582896914671,True,negative,-0.06339342667209935,-0.04022591799383269,0.04895342938927078,-0.1334109709958472,0.059524020019281795,False,negative
Pooled-Unstratified-GlobalPool,image + layout,S_layout - S_image,Qwen3-VL-30B,81,81.01695,8.629347756203826,-0.7312474828836086,-0.7353702522213732,0.13237166629598734,-1.011116302693611,-0.4865531099759616,True,negative,-0.015360873694207022,0.008128766317057355,0.054074766273083066,-0.09823916763061499,0.11429511834319524,False,negative
Pooled-Unstratified-GlobalPool,image + plain_text,S_plain_text - S_image,Gemma3-4B,244,243.99175,13.67078132139857,0.09541552886759219,0.0976183506942677,0.13149464349729895,-0.15753697177220272,0.3614697600372431,False,positive,-0.1012064582810978,-0.1002647419556763,0.03251889659621632,-0.1637293710633734,-0.03643180050780881,True,negative
Pooled-Unstratified-GlobalPool,image + plain_text,S_plain_text - S_image,Gemma3-27B,244,243.99175,13.67078132139857,-0.023881805843432413,-0.024134851795451627,0.0868463339731034,-0.19550843846190658,0.14521397096018998,False,negative,-0.10868102841586967,-0.10742916118160081,0.0385704012096768,-0.18257235027887003,-0.031717659558412326,True,negative
Pooled-Unstratified-GlobalPool,image + plain_text,S_plain_text - S_image,GPT-4o-mini,244,243.99175,13.67078132139857,0.09687094611191427,0.0970609870832034,0.07838282099596848,-0.056865619157017995,0.2520840475385744,False,positive,-0.18737966706791315,-0.18615939264356612,0.03821801337681768,-0.2603569776295612,-0.11056700789114722,True,negative
Pooled-Unstratified-GlobalPool,image + plain_text,S_plain_text - S_image,Qwen3-VL-8B,244,243.99175,13.67078132139857,0.05664226935831701,0.057121071768632126,0.07358513001842316,-0.08688460469351769,0.2016517454276071,False,positive,-0.15836998791416984,-0.15728133487897136,0.03551501146335529,-0.2266833632449152,-0.08757165425914805,True,negative
Pooled-Unstratified-GlobalPool,image + plain_text,S_plain_text - S_image,Qwen3-VL-30B,244,243.99175,13.67078132139857,0.0315383476309431,0.03131008525607422,0.07010186527164906,-0.10772434774576821,0.16732722071482709,False,positive,-0.1569812488554161,-0.15587712958450245,0.03636959652018505,-0.2267081338219804,-0.08408071249655696,True,negative
Pooled-Unstratified-GlobalPool,image + table,S_table - S_image,Gemma3-4B,180,180.00291,12.180508262461792,0.3126596018717033,0.3187124154156574,0.35613882395985763,-0.37969277436114085,1.0424257389639053,False,positive,-0.01873383499621457,-0.0028519877086951168,0.0249487912313371,-0.05165288786460958,0.04600936943566404,False,negative
