benchmark,modality_pair,comparison,model,n_questions,observed_D,D_mean,D_std,D_ci_lo,D_ci_hi,D_ci_excludes_zero,D_direction,observed_C12,C12_mean,C12_std,C12_ci_lo,C12_ci_hi,C12_ci_excludes_zero,C12_direction
Pooled-Stratified-ByPair,image + layout,S_layout - S_image,Gemma3-4B,81,-0.3530779293824412,-0.35815375352613765,0.2835644683934106,-0.9275578625916094,0.19609192238888126,False,negative,-0.02001067156047695,0.003217792964107257,0.05394347367582474,-0.10209916011372938,0.11094228131265166,False,negative
Pooled-Stratified-ByPair,image + layout,S_layout - S_image,Gemma3-27B,81,-0.6254148293335648,-0.641451429188362,0.24651162971634638,-1.1792159063242704,-0.20453427682156436,True,negative,0.023032940267130937,0.046009076211328735,0.05319553421353549,-0.052699551564503566,0.1481481481481482,False,positive
Pooled-Stratified-ByPair,image + layout,S_layout - S_image,GPT-4o-mini,81,-0.9076440014054015,-0.9115655790299833,0.10482907952293506,-1.1290794157212483,-0.7155179809775519,True,negative,-0.005977495460417537,0.017103783650488962,0.03320816007954155,-0.048413773731503365,0.08241109447592601,False,negative
Pooled-Stratified-ByPair,image + layout,S_layout - S_image,Qwen3-VL-8B,81,-0.910785632734955,-0.9259354852839168,0.20162701684183493,-1.36290237893274,-0.5700069035805181,True,negative,-0.06339342667209935,-0.04032504339145261,0.04857759473603115,-0.1333807820100677,0.0576087978238363,False,negative
Pooled-Stratified-ByPair,image + layout,S_layout - S_image,Qwen3-VL-30B,81,-0.7312474828836086,-0.7358301016210651,0.1324068694450484,-1.0101776878092668,-0.487132685966883,True,negative,-0.015360873694207022,0.007660448258942696,0.0539024346340985,-0.09860082304526752,0.11319954890788204,False,negative
Pooled-Stratified-ByPair,image + plain_text,S_plain_text - S_image,Gemma3-4B,244,0.09541552886759219,0.09737473140300397,0.13219531554046673,-0.15907258271597738,0.36066090401991147,False,positive,-0.1012064582810978,-0.09995032549058816,0.03252574729066822,-0.16309238149401298,-0.03584241891583932,True,negative
Pooled-Stratified-ByPair,image + plain_text,S_plain_text - S_image,Gemma3-27B,244,-0.023881805843432413,-0.024245232694043987,0.08662335302152022,-0.19475930711884443,0.14630243750728242,False,negative,-0.10868102841586967,-0.10738220167108073,0.038448870073005986,-0.18248858788464997,-0.031617795580542736,True,negative
Pooled-Stratified-ByPair,image + plain_text,S_plain_text - S_image,GPT-4o-mini,244,0.09687094611191427,0.09733854712212425,0.07820510526110151,-0.05553655602165093,0.25135199699304306,False,positive,-0.18737966706791315,-0.186202090027411,0.03794353209470607,-0.2597454737393819,-0.11097928584095686,True,negative
Pooled-Stratified-ByPair,image + plain_text,S_plain_text - S_image,Qwen3-VL-8B,244,0.05664226935831701,0.0575440931031414,0.07355456175099213,-0.08638172129977557,0.20311606335512475,False,positive,-0.15836998791416984,-0.1571068634294356,0.035421150769183424,-0.22660111636645905,-0.0876640721473591,True,negative
Pooled-Stratified-ByPair,image + plain_text,S_plain_text - S_image,Qwen3-VL-30B,244,0.0315383476309431,0.03173095867366123,0.06996568199519003,-0.10648199500862704,0.1682361031817561,False,positive,-0.1569812488554161,-0.15579288161648558,0.03619597363019267,-0.22642920120258195,-0.08474351194249966,True,negative
Pooled-Stratified-ByPair,image + table,S_table - S_image,Gemma3-4B,180,0.3126596018717033,0.32041386668732613,0.3559897863465421,-0.36581463866734965,1.04922407338313,False,positive,-0.01873383499621457,-0.002979530927683989,0.024776432922636486,-0.05151785476154954,0.045333558187596726,False,negative
Pooled-Stratified-ByPair,image + table,S_table - S_image,Gemma3-27B,180,0.23743868253904604,0.2409840494227882,0.1735794085331048,-0.08676065064392502,0.5976946463267508,False,positive,-0.00973344623009324,0.00600424728687716,0.03516006519403796,-0.06296877037542467,0.07496486207084611,False,negative
Pooled-Stratified-ByPair,image + table,S_table - S_image,GPT-4o-mini,180,-0.04375876951535368,-0.04384750539837184,0.07115458202948646,-0.18291448742148966,0.09565289486729754,False,negative,0.20664006819658504,0.22229939369839102,0.03361579825752932,0.15754613981621982,0.28940574825084486,True,positive
Pooled-Stratified-ByPair,image + table,S_table - S_image,Qwen3-VL-8B,180,0.08917129278300945,0.08886163618454473,0.11352372907411495,-0.1366567964261587,0.3087384683601817,False,positive,-0.01835555679138706,-0.002595288772821744,0.03336886794598476,-0.06756714540066765,0.06301071654449458,False,negative
Pooled-Stratified-ByPair,image + table,S_table - S_image,Qwen3-VL-30B,180,0.19473616862946108,0.19500057061769163,0.10455788538820697,-0.009957489539163466,0.40085232172192653,False,positive,-0.012656293405411686,0.003142225953473013,0.034429566002163556,-0.0644122875556426,0.07043551149410213,False,negative
Pooled-Stratified-ByPair,layout + plain_text,S_plain_text - S_layout,Gemma3-4B,296,0.3858100527884347,0.3889207890941503,0.10106433007622152,0.2001572641094775,0.5965188045474901,True,positive,-0.05392451811779518,-0.05396390205865664,0.02719094490636526,-0.10761238890580911,-0.0008661316518078379,True,negative
Pooled-Stratified-ByPair,layout + plain_text,S_plain_text - S_layout,Gemma3-27B,296,0.3485573702975576,0.34918123441190824,0.06808645590188925,0.21711563953865898,0.484714302867803,True,positive,-0.02824380685597662,-0.02829689575215055,0.027402205342048288,-0.08248550076926693,0.0251063201820343,False,negative
Pooled-Stratified-ByPair,layout + plain_text,S_plain_text - S_layout,GPT-4o-mini,296,0.6264940299029063,0.6270477881829295,0.05989357702778279,0.5109514716502495,0.7457331357496835,True,positive,-0.10267413710905447,-0.10262158892023461,0.028230948198945283,-0.15834990914327227,-0.04764120683439018,True,negative
Pooled-Stratified-ByPair,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-8B,296,0.5659596517845508,0.5658279560968195,0.05674259607584339,0.454760057476607,0.6768327647019047,True,positive,-0.05242040884947462,-0.05233176740790065,0.028200417863850795,-0.10746190463200722,0.003039867533904322,False,negative
Pooled-Stratified-ByPair,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-30B,296,0.574238393500821,0.5747550465835789,0.06636112952771635,0.4471126137315594,0.7068040169093927,True,positive,-0.10194430879288068,-0.10192647007697177,0.030048124337710976,-0.16081133950341853,-0.04293826413205625,True,negative
Pooled-Stratified-ByPair,layout + table,S_table - S_layout,Gemma3-4B,159,0.38914988773795717,0.38566794974382973,0.17790004553377659,0.02227578631730864,0.7232890742158742,True,positive,-0.023061085563008073,-0.00827717678810371,0.031140058356577408,-0.06647517363047768,0.05802441351403902,False,negative
Pooled-Stratified-ByPair,layout + table,S_table - S_layout,Gemma3-27B,159,1.0986656638983419,1.106293426919837,0.128013025888743,0.8758175588860815,1.377958518359155,True,positive,-0.016926046797693793,-0.0020650175686103282,0.025627787228497574,-0.0496879523109391,0.051751474211989376,False,negative
Pooled-Stratified-ByPair,layout + table,S_table - S_layout,GPT-4o-mini,159,0.8553540601511783,0.8565396030870015,0.07976033275493921,0.6983180369030747,1.0122532647400142,True,positive,0.013007222097084832,0.027845072063239353,0.025710330938085627,-0.0204087153449775,0.08064229401884349,False,positive
Pooled-Stratified-ByPair,layout + table,S_table - S_layout,Qwen3-VL-8B,159,0.7906471847019678,0.7923573445671548,0.07916317123610798,0.6381385076547376,0.9489999866845054,True,positive,0.02143571609884832,0.03623289492642296,0.0300984902251909,-0.021543474534784796,0.096580054603648,False,positive
Pooled-Stratified-ByPair,layout + table,S_table - S_layout,Qwen3-VL-30B,159,0.8621354219084707,0.8648014406079702,0.08619289734959643,0.6990207917411807,1.0384482179486931,True,positive,0.00011887218717211018,0.014739231694537658,0.03300047127004931,-0.04867408078885703,0.08156629050965787,False,positive
Pooled-Stratified-ByPair,plain_text + table,S_table - S_plain_text,Gemma3-4B,91,0.09008872539011287,0.08329393911771989,0.212995704705442,-0.35370592891582014,0.4875436647361019,False,positive,-0.18403701126856425,-0.1787944245885746,0.06577367315006787,-0.30740073834383524,-0.048652350987601393,True,negative
Pooled-Stratified-ByPair,plain_text + table,S_table - S_plain_text,Gemma3-27B,91,0.1675070699634325,0.16771739057782342,0.13062214920406753,-0.08795156662248886,0.4254321583686809,False,positive,-0.08141261075230015,-0.07592765354606078,0.0585972330578739,-0.18885939183131464,0.0409187754873131,False,negative
Pooled-Stratified-ByPair,plain_text + table,S_table - S_plain_text,GPT-4o-mini,91,0.12781629075716744,0.1275800745440281,0.11937842656165554,-0.1090298960979489,0.3601224334284454,False,positive,-0.2291689163636158,-0.22336299452695133,0.06188152260773119,-0.34167981578218093,-0.09853343256193538,True,negative
Pooled-Stratified-ByPair,plain_text + table,S_table - S_plain_text,Qwen3-VL-8B,91,0.25402524345324207,0.2543330353109649,0.10835987795073497,0.03958457537699599,0.463822182673457,True,positive,-0.1446888875548411,-0.1392287394107457,0.05303582181053848,-0.24322461781760182,-0.03571393883893885,True,negative
